#Social Body Lab - TTCResearch: https://github.com/Social-Body-Lab/TTCResearch
#Authors: Emma Cohen (emma.cohen@anthro.ox.ac.uk), Arran J. Davis (arran.davis@anthro.ox.ac.uk | davis.arran@gmail.com), Jacob Taylor (jacob.taylor@anthro.ox.ac.uk)
"GeneralIndex","TeamIDVar","Sex","Q1.2TTDistance","Q1.3.1Optim","Q1.3.2Useful","Q1.3.3Relax","Q1.3.4Interest","Q1.3.5Energy","Q1.3.6Probl","Q1.3.7Clear","Q1.4.1Good","Q1.4.2Close","Q1.4.3Confi","Q1.4.4Mind","Q1.4.5Love","Q1.4.6NewInt","Q1.4.7Cheer","Q231Panicky","Q232Lively","Q233Confused","Q34Worn","Q235Depres","Q236Down","Q23a.1Annoy","Q23a.2Exhaust","Q23a.3Mix","Q23a.4Sleep","Q23a.5Bitter","Q23a.6Unhap","Q23b.1Worr","Q23b.2Energ","Q23b.3Mis","Q23b.4Muddl","Q23b.5Nerv","Q23b.6Angry","Q23c.1Acti","Q23c.2Anx","Q23c.3BadT","Q23c.4Tire","Q23c.5Alert","Q23c.6Uncet","Q2.4Circles","Q251Rely","Q251Rely.R.","Q252Cont","Q253TWork","Q254Coop","Q254Coop.R.","Q261Close","Q262Simi","Q263Talk","Q264Enjoy","Q265Thing","Q266Valu","Q266Valu.R.","Q267Oft","Q268Like","Q26a.1Personal","Q26a.2Relat","Q26a.3Attit","Q26a.4Opin","Q26a.5Import","Q26a.6EDay","Q26a.7Simi","Q271Conn","Q272Bond","Q273Commi","Q281.impact","Q282threat","Q283Affect","Q284Excite","Q285Anx","Q286Conse","Q28a.1nega","Q28a.2Impli","Q28a.3Eager","Q28a.4Long","Q28a.5Stron","Q28a.6nega","Q291Able","Q292Prep","Q293Distr","Q294Perf","Q2.10.1Comf","Q2.10.2Posi","Q2.10.3Confi","Q2.10.4Be","Q2.10.a.1Care","Q2.10.a.2Boost","Q2.10.a.3Concern","Q2.10.a.4SEst","Q3.5.1Panicky","Q3.5.2Lively","Q3.5.3Confus","Q3.5.4Worn","Q3.5.5Depres","Q3.5.6Down","Q3.5.a.1Annoy","Q3.5.a.2Exhaus","Q3.5.a.3Mix","Q3.5.a.4Sleep","Q3.5.a.5Bitt","Q3.5.a.6Unhap","Q3.5.b.1Worri","Q3.5.b.2Energ","Q3.5.b.3Mis","Q3.5.b.4Muddl","Q3.5.b.5Nerv","Q3.5.b.6Angr","Q3.5.c.1Activ","Q3.5.c.2Anx","Q3.5.c.3BadT","Q3.5.c.4Tire","Q3.5.c.5Alert","Q3.5.c.6Uncer","Q3.6.1Pain","Q3.6.2Fatigue","Q3.6.3Effort","Q3.7Circles","Q3.8.1Connect","Q3.8.2Bond","Q3.8.3.Commit","Q3.9.1Need","Q3.9.2Help","Q3.10.1Cheer","Q3.10.2Able","Q3.10.3.ves","Q3.10.4Listen","Q3.10.5Comfort","Q3.10.a.1Concern","Q3.10.a.2Can","Q3.10.a.3Encourage","Q3.10.a.4Confi","Q3.10.a.5Be","Q3.11.1Indiv","Q3.11.2Team","Q3.12.1IExpect","Q3.12.2TExpect","Q4.5.1Optim","Q4.5.2Use","Q4.5.3Relax","Q4.5.4Intere","Q4.5.5Energ","Q4.5.6Probl","Q4.5.7Clear","Q4.6.1Good","Q4.6.2Close","Q4.6.3Confi","Q4.6.4Mind","Q4.6.5Love","Q4.6.6New","Q4.6.7Cheer","Q4.7Circles","Q4.8.1Close","Q4.8.2Simi","Q4.8.3Talk","Q4.8.4Time","Q4.8.5Things","Q4.8.6Values","Q4.8.6ValuesR","Q4.8.7See","Q4.8.8Like","Q4.8.a.1Personal","Q4.8.a.2Relat","Q4.8.a.3Attit","Q4.8.a.4Opin","Q4.8.a.5Import","Q4.8.a.6EDay","Q4.8.a.7Vsimi","Q4.9.1Connect","Q4.9.2Bond","Q4.9.3Commit","threat_t2","threat_t2_outcome","threat_t2_emotion","challenge_t2","centrality_t2","tension_t2","vigour_t2","confusion_t2","fatigue_t2","depression_t2","anger_t2","tension_t3","vigour_t3","confusion_t3","fatigue_t3","depression_t3","anger_t3","closeness_t2","similarity_t2","eday_centrality_t2","closeness_t4","similarity_t4","eday_centrality_t4","wellbeing_t1","wellbeing_t4","Q251RelyR","Q254CoopR","interdependence_t2","collective_efficacy_t2","perceived_support_t2_emotional","perceived_support_t2_esteem","received_support_t3_emotional","received_support_t3_esteem","bonding_t2","bonding_t3","bonding_t4","phys_diff_t3","peform_satisfaction_t3","peform_satisfaction_expect_t3","experienced_interdependence_t3"
"1",1,"101","Male",35,4,3,3,2,5,3,4,4,3,4,3,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"102","Male",35,4,4,3,4,5,4,4,5,4,5,4,3,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,4,0,5,2,6,7,1,2,6,6,4,6,7,6,4,4,6,7,5,7,7,7,7,5,6,7,7,7,5,1,5,5,1,3,1,1,5,1,5,1,4,10,8,5,6,6,6,6,6,6,6,6,0,4,0,3,0,0,0,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,4,0,5,3,10,5,7,7,7,7,7,5,5,5,4,5,4,5,5,5,5,5,5,7,7,5,4,5,5,4,4,4,4,4,5,5,4,5,4,5,6,5,6,7,6,6,2,6,7,1,7,6,4,7,4,6,7,6,6,-1.17038709427398,-0.575812460606224,-1.3932756442638,5,2.5,0.25,3.5,0,0,0,0,0,2.75,0,2,0,0,6.5,5.75,5.66666666666667,5.57142857142857,5.75,5.33333333333333,4.18181818181818,4.42857142857143,6,6,4.66666666666667,6.75,6,6,4.6,5,1.46744469811707,1.00530525385891,0.897622522462411,-1.26995946408334,0.763848867090582,0.151552682363892,0.928820936936475
"3",3,"102","Female",35,3,4,2,2,2,4,4,3,3,3,4,3,4,4,1,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,4,1,0,0,2,0,3,1,7,7,4,1,7,7,5,7,6,4,5,3,4,7,6,6,6,6,6,5,6,6,6,6,3,1,3,4,3,4,1,2,5,2,5,1,1,8,10,10,4,5,5,5,6,6,6,6,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,0,1,0,4,3,10,5,7,7,7,3,3,3,3,4,4,4,4,4,4,4,4,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59606222583072,-0.575812460606224,-0.39652884895547,4.25,2.75,1,2.75,0,0,0,0,0,3.25,0,0.25,0,0.25,6.33333333333333,5.25,5.33333333333333,NA,NA,NA,3.27272727272727,NA,7,7,6,7.25,5.25,5.5,3.8,3.8,-0.0356362367061603,1.00530525385891,NA,-1.55912358608297,-3.1003290447258,-3.08964597497356,-3.16954893638106
"4",4,"102","Male",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,4,1,0,0,4,0,4,2,6,6,7,1,7,5,5,5,5,5,1,7,4,6,2,7,5,5,6,3,1,5,4,7,4,1,4,3,3,2,1,1,3,3,4,1,0,9,7,4,5,6,5,5,6,5,6,3,0,2,0,1,0,0,1,3,1,0,1,0,1,0,0,0,1,0,1,0,0,4,1,0,6,7,9,4,4,5,6,4,4,4,2,5,5,3,2,2,5,5,4,5,4,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59606222583072,-0.575812460606224,-0.39652884895547,3.5,2.5,0.75,2.5,0,0.25,0,0,0.5,1,0.25,2,0,0.5,5.16666666666667,4,4,NA,NA,NA,NA,NA,6,7,6.66666666666667,5,5.5,4.75,3.6,3.8,-0.493666737957475,-1.06202005655514,NA,-0.0298032176158097,-0.105714451455492,0.708824960196421,-2.14495646805167
"5",5,"102","Male",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,3,7,1,7,7,3,5,7,7,7,7,7,5,3,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,5,1,5,1,4,5,5,5,1,5,5,6,4,6,6,6,6,6,6,6,6,0,4,0,4,0,0,0,4,0,4,0,0,0,4,1,0,0,0,4,0,0,4,0,0,10,10,10,3,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17038709427398,-0.575812460606224,-1.3932756442638,5,4.75,0,3.25,0.25,0,0,0,0,3,0,4,0.25,0,7,7,7,NA,NA,NA,NA,NA,1,5,6.33333333333333,5,6,6,5,5,0.942865422060855,0.444962247368376,NA,1.84009736373364,0.763848867090582,-0.719595960236609,0.928820936936475
"6",7,"103","Female",35,4,4,4,4,5,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,5,7,1,6,6,6,2,6,5,6,6,5,6,2,6,6,4,6,5,6,6,6,6,6,6,6,4,1,4,4,2,4,2,2,4,3,4,2,6,7,8,7,5,5,5,5,5,5,5,5,1,1,0,3,1,1,1,3,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,0,6,3,8,4,6,6,6,5,4,1,3,4,4,2,4,3,3,2,3,4,4,7,7,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,6,5,6,6,6,4,4,7,6,5,5,6,6,5,6,5,5,5,5,0.591634851500676,1.65508627057494,-0.894902246609634,4,3.25,0.5,1,0,0,0,0,0.5,0.5,0,2.25,1,0.25,5.66666666666667,5.25,6,5.57142857142857,5.5,6.33333333333333,4.09090909090909,3.85714285714286,1,2,4.66666666666667,7,5,5,2.8,3,0.488943039350057,-0.173804679944616,-0.274744390967465,-0.980795342083706,-0.81406487636357,0.151552682363892,-1.65480172840967
"7",8,"103","Female",35,3,4,3,2,3,4,3,3,3,3,4,3,3,2,1,2,0,2,0,1,1,2,0,3,1,1,2,2,1,1,2,0,2,1,1,2,1,1,5,3,5,5,5,2,6,5,5,5,5,5,2,6,5,5,5,5,5,5,5,5,5,6,6,6,4,2,3,5,2,3,2,2,4,2,5,1,8,8,8,8,5,5,5,5,5,5,5,5,1,1,1,4,1,2,3,4,3,4,4,4,1,0,4,2,2,4,4,2,4,4,2,1,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,3,3,3,3,2,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,4,2,6,6,4,4,4,3,3,5,4,4,3,3,4,0.15000353632126,0.456975192317138,-0.274142508155147,4.5,2.5,1.5,1.75,0.5,2.25,0.75,1,1.5,1.75,1.75,4,2.75,3.75,5,5,5,3.71428571428571,3.75,4.33333333333333,3.18181818181818,3.07142857142857,5,6,5.33333333333333,8,5,5,5,5,0.488943039350057,-0.792571607257609,-1.45706356477352,0.786273057500426,0.763848867090582,-0.825316637791736,-1.12036399972229
"8",10,"103","Female",35,3,4,3,3,4,4,4,3,3,2,3,2,5,3,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,1,0,0,2,2,0,2,3,5,6,7,2,6,6,6,7,7,5,2,6,7,7,5,7,6,7,7,5,4,5,5,7,3,2,1,5,2,3,2,1,4,3,4,2,4,7,8,6,6,6,6,6,6,6,6,6,2,0,0,4,2,1,2,4,1,4,2,2,1,0,2,0,0,1,0,1,3,4,1,1,10,10,10,2,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,5,5,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,6,6,6,6,6,4,4,7,7,6,6,6,6,6,6,6,5,5,5,0.934347973489886,1.65508627057494,-0.274142508155147,4,2,0.75,1.75,0,0.75,0,0,1,0.25,0.5,4,1.75,2,6.5,5.25,6.33333333333333,6.14285714285714,6,6.33333333333333,3.27272727272727,3.5,5,6,6.33333333333333,6.25,6,6,3.6,3.4,-0.660759190507861,-0.734147686435154,-0.503464197322795,1.84009736373364,0.763848867090582,-0.440959821320345,-1.12036399972229
"9",11,"104","Male",35,4,5,3,4,3,4,4,4,4,4,3,3,4,4,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,2,1,0,1,1,1,4,2,6,2,3,3,5,5,5,4,6,5,2,6,5,7,5,5,5,5,6,4,6,5,5,6,4,2,4,5,3,4,1,1,5,3,4,1,5,8,7,4,5,5,5,5,5,5,5,5,1,0,0,4,2,2,2,4,2,3,1,2,2,0,2,1,2,1,0,1,1,3,1,NA,7,7,9,4,6,6,6,5,6,4,4,4,4,4,4,4,4,4,4,3,5,7,8,4,3,5,5,4,3,2,5,4,4,2,5,3,4,4,6,6,6,5,5,6,2,5,6,5,5,5,6,5,5,6,5,6,6,-0.25334910384151,-0.575812460606224,0.224230889499018,4.5,3,1,1.75,0.25,0.5,0,0,1.5,0.25,1,3.5,2,1.25,5.66666666666667,5.25,4.33333333333333,5.42857142857143,5.5,5.33333333333333,3.81818181818182,3.78571428571429,6,5,3.33333333333333,6,5,5,4,4,-0.444014085948355,-0.173804679944616,0.185056415493154,0.259360904383821,-0.652851982725572,0.465429047131865,-0.585926271034914
"10",12,"104","Male",35,4,3,3,4,4,5,5,5,4,5,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,5,4,4,5,4,5,5,3,4,4,5,6,6,7,6,5,5,3,5,7,6,5,5,6,6,4,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.5,5.33333333333333,4.18181818181818,4.21428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0460245846121361,NA,NA,NA,NA
